㑳,zhòu
當行,dāngháng
當行出色,dānghángchūsè
當行家,dānghángjiā
當衣買酒喝,dàngyīmǎijiǔhē
當軸,dāngzhú
當鋪,dàngpù
當間,dāngjiàn
當面銀子對面錢,dāngmiànyínziduìmiànqián
當頭棒喝,dāngtóubànghè
當頭炮,dāngtóupào
畷,zhuó
畸,jī
畸角子,jījiǎozi
畹,wǎn
畽,tuǎn
畿,jī
疁,liú
疃,tuǎn
疆,jiāng
疇,chóu
疊,dié
疊矩重規,diéjǔchóngguī
疋,pǐ
疋頭,pǐtou
疏,shū
疏不間親,shūbùjiànqīn
疏導,shūdǎo
疏證,shùzhèng
疏頭,shùtóu
疐,zhì
疑,yí
疒,chuáng
疔,dīng
疙,gē
疙搭,gēda
疙渣兒,gēzhar
疙疙瘩瘩,gēgedādā
疙瘩,gēda
疙瘩事,gēdashì
疙瘩湯,gēdatāng
疙瘩腔,gēdaqiāng
疚,jiù
疝,shàn
疢,chèn
疣,yóu
疣子,yóuzi
疤,bā
疤瘌流星的,bālaliúxīngde
疤瘌眼,bālayǎn
疤瘌餅,bālabǐng
疥,jiè
疥癬,jièxiǎn
疥癬蟲,jièxiǎnchóng
疧,zhī
疫,yì
疰,zhù
疱,pào
疲,pí
疲累,pílèi
疳,gān
疵,cī
疸,dǎn
疹,zhěn
疹子,zhěnzi
疻,zhǐ
疼,téng
疼心泣血,téngxīnqìxuè
疽,jū
疾,jí
疾惡好善,jíèhàoshàn
痀,jū
痀瘻,jūlǘ
痁,diàn
痂,jiā
痃,xián
痄,zhà
病,bìng
病假,bìngjià
病包兒,bìngbāor
病厭厭,bìngyānyān
病根兒,bìnggēnr(變)bìnggēr
病理切片,bìnglǐqiēpiàn
病病歪歪,bìngbingwāiwāi
病病殃殃,bìngbingyāngyāng
病間,bìngjiàn
病革,bìngjí
痆,niè
症,zhèng
痊,quán
痌,tōng
痍,yí
痎,jiē
痏,wěi
痒,yáng
痔,zhì
痔瘡,zhìchuang
痕,hén
痗,mèi
痘,dòu
痘子,dòuzi
痘疹娘娘,dòuzhěnniangniang
痙,jìng
痛,tòng
痛心泣血,tòngxīnqìxuè
痛惡,tòngwù
痛殺殺,tòngshàshà
痛痛快快,tòngtongkuàikuài
痛痛的,tòngtòngde
痝,máng
痞,pǐ
痞子,pǐzi
痠,suān
痡,pū
痢,lì
痣,zhì
痤,cuó
痦,wù
痦子,wùzi
痧,shā
痧子,shāzi
痯,guǎn
痰,tán
痱,fèi
痱子,fèizi
痱子粉,fèizifěn
痲,má
痳,lín
痴,chī
痴呆懵懂,chīdāiméngdǒng
痴子,chīzi
痴長,chīzhǎng
痶,diǎn
痶腳,diǎnjiǎo
痹,bì
痺,bì
痻,mín
痼,gù
痾,ē
痿,wěi
痿不忘起,wěibùwàngqǐ
瘀,yū
瘀血,yūxiě
瘁,cuì
瘃,zhú
瘈,jì
瘈瘲,qìzòng
瘉,yù
瘊,hóu
瘊子,hóuzi
瘋,fēng
瘋子,fēngzi
瘋瘋傻傻,fēngfengshǎshǎ
瘋瘋癲癲,fēngfengdiāndiān
瘋瘋顛顛,fēngfengdiāndiān
瘋長,fēngzhǎng
瘌,là
瘍,yáng
瘏,tú
瘐,yǔ
瘓,huàn
瘕,jiǎ
瘖,yīn
瘙,sāo
瘝,guān
瘞,yì
瘞鶴銘,yìhèmíng
瘟,wēn
瘠,jí
瘠薄,jíbó
瘡,chuāng
瘡好忘痛,chuānghǎowàngtòng
瘢,bān
瘣,huì
瘤,liú
瘥,chài
瘦,shòu
瘦削,shòuxuè
瘦子,shòuzi
瘦小枯乾,shòuxiǎokūgān
瘦怯怯,shòuqièqiè
瘦死的駱駝比馬大,shòusǐdeluòtuóbǐmǎdà
瘦溜,shòuliu
瘧,nüè
瘨,diān
瘩,（語音）da
瘭,biāo
瘯,cù
瘯蠡,cùlí
瘰,luǒ
瘱,yì
瘲,zòng
瘳,chōu
瘴,zhàng
瘵,zhài
瘸,qué
瘸和尚說法,quéhéshangshuōfǎ
瘸子,quézi
瘺,lòu
瘻,lòu
瘼,mò
療,liáo
癃,lóng
癆,láo
癆病腔子,láobìngqiāngzi
癇,xián
癈,fèi
癉,dàn
癉瘧,dānnüè
癌,yán
癒,yù
癔,yì
癖,pǐ
癖好,pǐhào
癘,lì
癙,shǔ
癜,diàn
癟,biě
癟嘴子,biězuǐzi
癟子,biězi
癠,jì
癢,yǎng
癢癢,yǎngyang
癤,jié
癤子,jiézi
癥,zhēng
癩,lài
癩子,làizi
癩蝦蟆,làiháma
癩蝦蟆想吃天鵝肉,làihámaxiǎngchītiānéròu
癩頭跣腳,làitóuxiǎnjiǎo
癬,（讀音）xiǎn
癬疥,xiǎnjiè
癭,yǐng
癮,yǐn
癮頭兒,yǐntóur
癰,yōng
癱,tān
癱子,tānzi
癱子掉在井裡,tānzidiàozàijǐnglǐ
癲,diān
癶,bō
癸,guǐ
癹,pō
登,dēng
登壇拜將,dēngtánbàijiàng
登廁,dēngcè
登朝,dēngcháo
登登登的,dēngdēngdēngde
登臺拜將,dēngtáibàijiàng
登車,dēngchē
發,fā
發人深省,fārénshēnxǐng
發個兒,fāgèr
發匱,fāguì
發奸擿伏,fājiāntìfú
發姦擿伏,fājiāntìfú
發怔,fālèng
發悶,fāmēn
發憤忘食,fāfènwàngshí
發擺子,fābǎizi
發擿,fātì
發擿姦伏,fātìjiānfú
發楞,fālèng
發橫,fāhèng
發生率,fāshēnglǜ
發病率,fābìnglǜ
發白,fābái
發石車,fāshíchē
發給,fāgěi
發脾氣,fāpíqi
發腳,fājiǎo
發草帖,fācǎotiě
發行,fāháng
發行量加權股價指數,fāxíngliàngjiāquángǔjiàzhǐshù
發解,fājiè
發諢子,fāhùnzi
發蹤指示,fāzōngzhǐshì
發車,fāchē
發隱擿伏,fāyǐntìfú
發難,fānàn
發黑,fāhēi
白,（語音）bái
白丁,báidīng
白丁俗客,báidīngsúkè
白丁香,báidīngxiāng
白不呲咧,báibùcīliē
白乾,báigān
白了了,báiliǎoliǎo
白事,báishì
白人,báirén
白人情,báirénqíng
白住,báizhù
白來,báilái
白俄,báié
白俄羅斯人,báiéluósīrén
白俄羅斯共和國,báiéluósīgònghéguó
白做,báizuò
白光,báiguāng
白兔,báitù
白兔擣藥,báitùdǎoyào
白兔記,báitùjì
白兔赤烏,báitùchìwū
白內障,báinèizhàng
白公堤,báigōngtí
白刃,báirèn
白刃戰,báirènzhàn
白切肉,báiqiēròu
白刺,báicì
白前,báiqián
白努利定理,báinǔlìdìnglǐ
白化症,báihuàzhèng
白千層,báiqiāncéng
白卷,báijuàn
白受,báishòu
白叟,báisǒu
白叟黃童,báisǒuhuángtóng
白口,báikǒu
白口咀咒,báikǒujǔzhòu
白口鐵,báikǒutiě
白古蘇花,báigǔsūhuā
白叨光,báitāoguāng
白吃,báichī
白吃白住,báichībáizhù
白吃白喝,báichībáihē
白合金,báihéjīn
白問,báiwèn
白喉,báihóu
白喉疫苗,báihóuyìmiáo
白喜草,báixǐcǎo
白嘩嘩,báihuāhuā
白嘴兒,bái　zuǐr　(變)bái　zuěr
白嚼人,báijuérén
白嚼蛆,báijuéqū
白囊,báináng
白四喜兒,bái　sì　xǐr　(變)bái　sì　xiěr
白團,báituán
白團扇,báituánshàn
白土子,báitǔzi
白圭,báiguī
白圭之玷,báiguīzhīdiàn
白地,báidì
白堊,báiè
白堊系,báièxì
白堊紀,báièjì
白堤,báití
白報紙,báibàozhǐ
白塞木,báisāimù
白墠,báishàn
白墡,báishàn
白墨,báimò
白墮,báiduò
白士,báishì
白夜,báiyè
白天,báitian
白契,báiqì
白如枯骨,báirúkūgǔ
白如玉,báirúyù
白娘子,báiniángzǐ
白子,báizǐ
白子國,báizǐguó
白子魚,báizǐyú
白孔六帖,báikǒngliùtiè
白字,báizì
白字戲,báizìxì
白定碗,báidìngwǎn
白客,báikè
白宮,báigōng
白宮學者,báigōngxuézhě
白宮幕僚長,báigōngmùliáozhǎng
白寶,báibǎo
白將軍,báijiāngjūn
白小豆,báixiǎodòu
白尾鷲,báiwěijiù
白居易,báijūyì
白屈菜,báiqūcài
白屋,báiwū
白屋人家,báiwūrénjiā
白屋寒門,báiwūhánmén
白山,báishān
白山黑水,báishānhēishuǐ
白嶽山,báiyuèshān
白差使,báichāishǐ
白帖,báitiè
白帝,báidì
白帝城,báidìchéng
白席人,báixírén
白帶,báidài
白帶魚,báidàiyú
白幡,báifān
白干,báigān
白得發亮,báidefāliàng
白忙,báimáng
白快,báikuài
白想想,báixiángxiang
白憑無故,báipíngwúgù
白戰,báizhàn
白手,báishǒu
白手套,báishǒutào
白手成家,báishǒuchéngjiā
白手興家,báishǒuxīngjiā
白手起家,báishǒuqǐjiā
白打,báidǎ
白扯,báichě
白拈賊,báiniánzéi
白拉,báilā
白指病,báizhǐbìng
白捕,báibǔ
白描,báimiáo
白搭,báidā
白搶白相,báiqiǎngbáixiàng
白搽白折,báichábáizhé
白撞,báizhuàng
白放,báifàng
白教,báijiāo
白文,báiwén
白斑,báibān
白旄,báimáo
白旄黃鉞,báimáohuángyuè
白族,báizú
白旗,báiqí
白日,báirì
白日夢,báirìmèng
白日撞,báirìzhuàng
白日昇天,báirìshēngtiān
白日衣繡,báirìyìxiù
白日見鬼,báirìjiànguǐ
白日賊,báirìzéi
白日間,báirìjiān
白日飛昇,báirìfēishēng
白日鬼,báirìguǐ
白晃晃,báihuǎnghuǎng
白晝,báizhòu
白服,báifú
白朗寧,báilǎngníng
白望,báiwàng
白木耳,báimùěr
白朮,báizhú
白松,báisōng
白板,báibǎn
白板單吊,báibǎndāndiào
白板天子,báibǎntiānzǐ
白果,báiguǒ
白果兒,báiguǒr
白果松,báiguǒsōng
白案,báiàn
白桐,báitóng
白桵,báiruǐ
白桿兵,báigǎnbīng
白條,báitiáo
白條豬,báitiáozhū
白梨,báilí
白森森,báisēnsēn
白楊,báiyáng
白楝,báiliàn
白業,báiyè
白榆,báiyú
白樂天,báilètiān
白樸,báipú
白樺,báihuà
白檀,báitán
白殭蠶,báijiāngcán
白毛風,báimáofēng
白毫,báiháo
白毫之賜,báiháozhīsì
白氅,báichǎng
白氣,báiqì
白水,báishuǐ
白水灘,báishuǐtān
白水素女,báishuǐsùnǚ
白汗,báihàn
白沙,báishā
白沙學派,báishāxuépài
白沙島,báishādǎo
白沙灣,báishāwān
白沙鄉,báishāxiāng
白沫,báimò
白河,báihé
白河水庫,báihéshuǐkù
白河縣,báihéxiàn
白法,báifǎ
白泠泠,báilínglíng
白洞,báidòng
白浪,báilàng
白浪掀天,báilàngxiāntiān
白浪滔滔,báilàngtāotāo
白海,báihǎi
白淨,báijing
白淨面皮,báijìngmiànpí
白混,báihùn
白渠,báiqú
白湯,báitāng
白漭漭,báimǎngmǎng
白澒,báihòng
白澤,báizé
白澤圖,báizétú
白澳政策,báiàozhèngcè
白濁,báizhuó
白灰,báihuī
白炭,báitàn
白煙,báiyān
白煤,báiméi
白煮,báizhǔ
白煮蛋,báizhǔdàn
白熊,báixióng
白熱,báirè
白熱化,báirèhuà
白熱電燈,báirèdiàndēng
白熾,báichì
白熾燈,báichìdēng
白熾電燈,báichìdiàndēng
白燒,báishāo
白牡丹,báimǔdān
白物,báiwù
白犀牛,báixīniú
白狄,báidí
白狐,báihú
白狼,báiláng
白狼河,báilánghé
白猿,báiyuán
白猿傳,báiyuánzhuàn
白玉微瑕,báiyùwéixiá
白玉微疵,báiyùwéicī
白玉有瑕,báiyùyǒuxiá
白玉樓,báiyùlóu
白玉無瑕,báiyùwúxiá
白玉蘭,báiyùlán
白玉霜,báiyùshuāng
白玩兒,báiwánr(變)báiwár
白珩,báihéng
白珪,báiguī
白班,báibān
白瑩瑩,báiyíngyíng
白璧,báibì
白璧之瑕,báibìzhīxiá
白璧微瑕,báibìwéixiá
白璧無瑕,báibìwúxiá
白璧青蠅,báibìqīngyíng
白環,báihuán
白瓷,báicí
白生生,báishēngshēng
白當,báidāng
白痢,báilì
白痴,báichī
白癜風,báidiànfēng
白癬,báixiǎn
白登,báidēng
白發,báifā
白白,báibái
白白淨淨,báibaijingjing
白白胖胖,báibáipàngpàng
白皁,báizào
白皙,báixī
白皚皚,báiáiái
白皮書,báipíshū
白皮松,báipísōng
白直,báizhí
白相,báixiàng
白相人,báixiàngrén
白眉,báiméi
白眉神,báiméishén
白眉赤眼,báiméichìyǎn
白眉鴃,báiméijué
白眼,báiyǎn
白眼兒狼,báiyǎnrláng(變)báiyǎrláng
白眼望青天,báiyǎnwàngqīngtiān
白眼珠,báiyǎnzhū
白眼頻加,báiyǎnpínjiā
白瞪,báidèng
白瞪眼,báidèngyǎn
白矮星,báiǎixīng
白石神,báishíshén
白石道人,báishídàorén
白砂,báishā
白砂糖,báishātáng
白砒,báipī
白破,báipò
白磁,báicí
白磷,báilín
白礬,báifán
白禿風,báitūfēng
白種人,báizhǒngrén
白筆,báibǐ
白簡,báijiǎn
白米,báimǐ
白米甕,báimǐwèng
白米飯,báimǐfàn
白粉,báifěn
白粉病,báifěnbìng
白粉蝶,báifěndié
白粉麵,báifěnmiàn
白粥,báizhōu
白粲,báicàn
白糖,báitáng
白糠疹,báikāngzhěn
白糧,báiliáng
白紗,báishā
白紙,báizhǐ
白紙黑字,báizhǐhēizì
白紵,báizhù
白紵歌,báizhùgē
白絞油,báijiǎoyóu
白給,báigěi
白練,báiliàn
白羊子,báiyángzǐ
白羊宮,báiyánggōng
白羊座,báiyángzuò
白羊鮮,báiyángxiān
白羽,báiyǔ
白翅,báichì
白翎雀,báilíngquè
白翳,báiyì
白肉,báiròu
白背浮塵子,báibèifúchénzǐ
白背飛蝨,báibèifēishī
白脣鹿,báichúnlù
白脫油,báituōyóu
白腰雨燕,báiyāoyǔyàn
白膠,báijiāo
白膩,báinì
白臉,báiliǎn
白臉兒,báiliǎnr(變)báiliǎr
白色,báisè
白色人種,báisèrénzhǒng
白色念珠菌病,báisèniànzhūjùnbìng
白色恐怖,báisèkǒngbù
白色體,báisètǐ
白艾,báiài
白芋,báiyù
白芍,báisháo
白芨,báijí
白花,báihuā
白花八角,báihuābājiǎo
白花油,báihuāyóu
白花花,báihuahuā
白花菜,báihuācài
白花蛇,báihuāshé
白芷,báizhǐ
白英,báiyīng
白茅,báimáo
白茫茫,báimángmáng
白茶,báichá
白草,báicǎo
白荷蘭翹搖,báihélánqiàoyáo
白菖,báichāng
白菜,báicài
白華,báihuá
白華之怨,báihuázhīyuàn
白落,báiluò
白著,báizhù
白蒿,báihāo
白蓬蓬,báipéngpéng
白蓮教,báiliánjiào
白蓮社,báiliánshè
白薇,báiwéi
白薯,báishǔ
白藤,báiténg
白藥,báiyào
白蘇,báisū
白蘋,báipín
白蘋洲,báipínzhōu
白蘚,báixiǎn
白蘞,báiliàn
白蘭地,báilándì
白蘭花,báilánhuā
白蘿蔔,báiluóbo
白虎,báihǔ
白虎幡,báihǔfān
白虎星,báihǔxīng
白虎觀,báihǔguàn
白虎通義,báihǔtōngyì
白虎風,báihǔfēng
白虹,báihóng
白虹貫日,báihóngguànrì
白蛇,báishé
白蛇傳,báishézhuàn
白蛉子,báilíngzi　（又音）bǎilíngzi
白蛋白,báidànbái
白蛸,báixiāo
白螞蟻,báimǎyǐ
白蟻,báiyǐ
白蠟,báilà
白蠟明經,báilàmíngjīng
白蠟杆子,báilàgānzi
白蠟樹,báilàshù
白蠟蟲,báilàchóng
白蠟蠟,báilàlà
白血球,báixiěqiú
白血球過多症,báixiěqiúguòduōzhèng
白血病,báixiěbìng
白行簡,báixíngjiǎn
白衣,báiyī
白衣人,báiyīrén
白衣公卿,báiyīgōngqīng
白衣卿相,báiyīqīngxiàng
白衣大士,báiyīdàshì
白衣大食,báiyīdàshí
白衣天使,báiyītiānshǐ
白衣教練,báiyījiàoliàn
白衣秀士,báiyīxiùshì
白衣蒼狗,báiyīcānggǒu
白衣觀音,báiyīguānyīn
白衣送酒,báiyīsòngjiǔ
白衫,báishān
白袷,báijiá
白袷衣,báijiáyī
白詞念賦,báicíniànfù
白話,báihuà
白話小說,báihuàxiǎoshuō
白話文,báihuàwén
白話文學,báihuàwénxué
白話文運動,báihuàwényùndòng
白話舌兒,báihuashér
白話詩,báihuàshī
白說,báishuō
白說六道,báishuōliùdào
白說綠道,báishuōlǜdào
白謊,báihuǎng
白變種,báibiànzhǒng
白豆兒佛,báidòurfó
白豆蔻,báidòukòu
白象之國,báixiàngzhīguó
白財,báicái
白費,báifèi
白費功夫,báifèigōngfū
白費心思,báifèixīnsī
白費心血,báifèixīnxiě
白賊七,báizéiqī
白質,báizhí
白賴,báilài
白起,báiqǐ
白足,báizú
白跑,báipǎo
白蹧蹋,báizāota
白身,báishēn
白身人,báishēnrén
白軍,báijūn
白辛樹,báixīnshù
白道,báidào
白鄧鄧,báidèngdèng
白酒,báijiǔ
白醋,báicù
白醭,báipú
白金,báijīn
白金婚,báijīnhūn
白金漢宮,báijīnhàngōng
白鉛皮,báiqiānpí
白鉛礦,báiqiānkuàng
白銀,báiyín
白銅,báitóng
白錢,báiqián
白鍵,báijiàn
白鎢礦,báiwūkuàng
白鏹,báiqiǎng
白鐵,báitiě
白鐵皮,báitiěpí
白鑄鐵,báizhùtiě
白鑞,báilà
白門,báimén
白門樓,báiménlóu
白開水,báikāishuǐ
白閒,báijiān
白閒著,báixiánzhe
白附子,báifùzi
白陶,báitáo
白陶罍,báitáoléi
白雨,báiyǔ
白雪,báixuě
白雪公主,báixuěgōngzhǔ
白雪公主症候群,báixuěgōngzhǔzhènghòuqún
白雪曲,báixuěqǔ
白雪歌,báixuěgē
白雪遺音,báixuěyíyīn
白雪陽春,báixuěyángchūn
白雪黃芽,báixuěhuángyá
白雲,báiyún
白雲孤飛,báiyúngūfēi
白雲山,báiyúnshān
白雲岩,báiyúnyán
白雲母,báiyúnmǔ
白雲石,báiyúnshí
白雲蒼狗,báiyúncānggǒu
白雲親舍,báiyúnqīnshè
白雲觀,báiyúnguàn
白雲鄉,báiyúnxiāng
白露,báilù
白面,báimiàn
白面書生,báimiànshūshēng
白面書郎,báimiànshūláng
白面皮,báimiànpí
白面鼯鼠,báimiànwúshǔ
白頂鶴,báidǐnghè
白領,báilǐng
白領勞工,báilǐngláogōng
白領犯罪,báilǐngfànzuì
白領階級,báilǐngjiējí
白領階級犯罪,báilǐngjiējífànzuì
白頭,báitóu
白頭之歎,báitóuzhītàn
白頭偕老,báitóuxiélǎo
白頭到老,báitóudàolǎo
白頭吟,báitóuyín
白頭如新,báitóurúxīn
白頭山,báitóushān
白頭浪,báitóulàng
白頭相守,báitóuxiāngshǒu
白頭翁,báitóuwēng
白題,báití
白額虎,báiéhǔ
白額雁,báiéyàn
白顛,báidiān
白食,báishí
白飯,báifàn
白飯王,báifànwáng
白飯青芻,báifànqīngchú
白飾金,báishìjīn
白饒,báiráo
白首,báishǒu
白首一節,báishǒuyījié
白首之心,báishǒuzhīxīn
白首北面,báishǒuběimiàn
白首同歸,báishǒutóngguī
白首如新,báishǒurúxīn
白首無成,báishǒuwúchéng
白首相知,báishǒuxiāngzhī
白首空歸,báishǒukōngguī
白首窮經,báishǒuqióngjīng
白馬,báimǎ
白馬坡,báimǎpō
白馬寺,báimǎsì
白馬將軍,báimǎjiāngjūn
白馬歸周,báimǎguīzhōu
白馬津,báimǎjīn
白馬王,báimǎwáng
白馬王子,báimǎwángzǐ
白馬非馬說,báimǎfēimǎshuō
白駒,báijū
白駒空谷,báijūkōnggǔ
白駒過隙,báijūguòxì
白骨,báigǔ
白骨松,báigǔsōng
白髮,báifǎ
白髮如新,báifǎrúxīn
白髮朱顏,báifǎzhūyán
白髮相守,báifǎxiāngshǒu
白髮紅顏,báifǎhóngyán
白髮蒼蒼,báifǎcāngcāng
白髮蒼顏,báifǎcāngyán
白髮郎潛,báifǎlángqián
白髮銀鬚,báifǎyínxū
白髮青衫,báifǎqīngshān
白髮齊眉,báifǎqíméi
白魚,báiyú
白魚入舟,báiyúrùzhōu
白魚粉,báiyúfěn
白鯗,báixiǎng
白鯧魚,báichāngyú
白鯨記,báijīngjì
白鰭豚,báiqítún
白鰱,báilián
白鰷,báitiáo
白鱔,báishàn
白鳥,báiniǎo
白鵝,báié
白鵠,báihú
白鶴,báihè
白鶴秀才,báihèxiùcái
白鷗,báiōu
白鷳,báixián
白鷺,báilù
白鷺洲,báilùzhōu
白鷺鷥,báilùsī
白鸛,báiguàn
白鹿,báilù
白鹿洞,báilùdòng
白鹿洞書院,báilùdòngshūyuàn
白鹿紙,báilùzhǐ
白麵,báimiàn
白麻,báimá
白黑,báihēi
白黑不分,báihēibùfēn
白黑分明,báihēifēnmíng
白點病,báidiǎnbìng
白黴,báiméi
白黴素,báiméisù
白鼠,báishǔ
白鼬,báiyòu
白鼻心,báibíxīn
白齋,báizhāi
白龍堆,báilóngduī
白龍微服,báilóngwéifú
白龍魚服,báilóngyúfú
白龜年,báiguīnián
百,（語音）bǎi
百一詩,bǎiyīshī
百丈,bǎizhàng
百丈山,bǎizhàngshān
百丈清規,bǎizhàngqīngguī
百丈竿頭,bǎizhànggāntóu
百不一失,bǎibùyīshī
百不一爽,bǎibùyīshuǎng
百不一遇,bǎibùyīyù
百不失一,bǎibùshīyī
百不存一,bǎibùcúnyī
百不當一,bǎibùdāngyī
百世,bǎishì
百世不易,bǎishìbùyì
百世不磨,bǎishìbùmó
百世之人,bǎishìzhīrén
百世之利,bǎishìzhīlì
百世之師,bǎishìzhīshī
百世師,bǎishìshī
百世流芳,bǎishìliúfāng
百世難期,bǎishìnánqí
百中無一,bǎizhōngwúyī
百中百發,bǎizhòngbǎifā
百中經,bǎizhòngjīng
百乘之家,bǎishèngzhījiā
百了千當,bǎiliǎoqiāndàng
百事,bǎishì
百事不管,bǎishìbùguǎn
百事可樂,bǎishìkělè
百事和合,bǎishìhéhé
百事大吉,bǎishìdàjí
百事無成,bǎishìwúchéng
百事通,bǎishìtōng
百二山河,bǎièrshānhé
百二關山,bǎièrguānshān
百代,bǎidài
百代文宗,bǎidàiwénzōng
百代過客,bǎidàiguòkè
百伶百俐,bǎilíngbǎilì
百依百隨,bǎiyībǎisuí
百依百順,bǎiyībǎishùn
百倍,bǎibèi
百僚,bǎiliáo
百八丸,bǎibāwán
百六,bǎiliù
百出,bǎichū
百分之九十九,bǎifēnzhījiǔshíjiǔ
百分之百,bǎifēnzhībǎi
百分制,bǎifēnzhì
百分數,bǎifēnshù
百分比,bǎifēnbǐ
百分法,bǎifēnfǎ
百分率,bǎifēnlǜ
百分號,bǎifēnhào
百分點,bǎifēndiǎn
百刻,bǎikè
百劃,bǎihuà
百動不如一靜,bǎidòngbùrúyījìng
百十,bǎishí
百卉,bǎihuì
百卉千葩,bǎihuìqiānpā
百卉含英,bǎihuìhányīng
百口,bǎikǒu
百口莫辯,bǎikǒumòbiàn
百口難分,bǎikǒunánfēn
百司,bǎisī
百吃不厭,bǎichībùyàn
百合,bǎihé
百合花,bǎihéhuā
百喙莫辯,bǎihuìmòbiàn
百喻經,bǎiyùjīng
百嗎兒,bǎimǎr
百嘉,bǎijiā
百囊奔,bǎinángbēn
百城,bǎichéng
百城之富,bǎichéngzhīfù
百堵,bǎidǔ
百堵皆作,bǎidǔjiēzuò
百壽,bǎishòu
百壽圖,bǎishòutú
百夫良,bǎifūliáng
百夫長,bǎifūzhǎng
百姓,bǎixìng
百姓之心,bǎixìngzhīxīn
百媚千嬌,bǎimèiqiānjiāo
百子全書,bǎizǐquánshū
百子千孫,bǎizǐqiānsūn
百子圖,bǎizǐtú
百子帳,bǎizǐzhàng
百子蓮,bǎizǐlián
百孔千創,bǎikǒngqiānchuāng
百孔千瘡,bǎikǒngqiānchuāng
百官,bǎiguān
百家,bǎijiā
百家之言,bǎijiāzhīyán
百家姓,bǎijiāxìng
百家灣,bǎijiāwān
百家爭鳴,bǎijiāzhēngmíng
百家衣,bǎijiāyī
百家衣體,bǎijiāyītǐ
百家諸子,bǎijiāzhūzǐ
百家鎖,bǎijiāsuǒ
百家齊鳴,bǎijiāqímíng
百密一疏,bǎimìyīshū
百寮,bǎiliáo
百寶嵌,bǎibǎoqiān
百寶盒,bǎibǎohé
百寶箱,bǎibǎoxiāng
百將傳,bǎijiàngzhuàn
百尺,bǎichǐ
百尺竿頭,bǎichǐgāntóu
百川,bǎichuān
百川學海,bǎichuānxuéhǎi
百川歸海,bǎichuānguīhǎi
百工,bǎigōng
百巧千窮,bǎiqiǎoqiānqióng
百巧成窮,bǎiqiǎochéngqióng
百年,bǎinián
百年不遇,bǎiniánbùyù
百年之好,bǎiniánzhīhǎo
百年之後,bǎiniánzhīhòu
百年之柄,bǎiniánzhībǐng
百年之業,bǎiniánzhīyè
百年佳偶,bǎiniánjiāǒu
百年偕老,bǎiniánxiélǎo
百年到老,bǎiniándàolǎo
百年大計,bǎiniándàjì
百年好合,bǎiniánhǎohé
百年戰爭,bǎiniánzhànzhēng
百年樹人,bǎiniánshùrén
百度,bǎidù
百廢俱興,bǎifèijùxīng
百廢俱舉,bǎifèijùjǔ
百廢備舉,bǎifèibèijǔ
百廢待舉,bǎifèidàijǔ
百弊叢生,bǎibìcóngshēng
百忍,bǎirěn
百忙中,bǎimángzhōng
百念,bǎiniàn
百念皆灰,bǎiniànjiēhuī
百思不解,bǎisībùjiě
百思莫解,bǎisīmòjiě
百感,bǎigǎn
百感交集,bǎigǎnjiāojí
百慮,bǎilǜ
百慮一致,bǎilǜyīzhì
百憂,bǎiyōu
百戰不殆,bǎizhànbùdài
百戰功高,bǎizhàngōnggāo
百戰百勝,bǎizhànbǎishèng
百戰雄師,bǎizhànxióngshī
百戲,bǎixì
百戶,bǎihù
百折不回,bǎizhébùhuí
百折不挫,bǎizhébùcuò
百折不撓,bǎizhébùnáo
百拙千醜,bǎizhuóqiānchǒu
百拜,bǎibài
百揆,bǎikuí
百方,bǎifāng
百日,bǎirì
百日咳,bǎirìké
百日天下,bǎirìtiānxià
百日紅,bǎirìhóng
百日維新,bǎirìwéixīn
百日草,bǎirìcǎo
百晬,bǎizuì
百會,bǎihuì
百果,bǎiguǒ
百果山,bǎiguǒshān
百枝蓮,bǎizhīlián
百樂,bǎilè
百步,bǎibù
百步無輕擔,bǎibùwúqīngdàn
百步穿楊,bǎibùchuānyáng
百步蛇,bǎibùshé
百武彗星,bǎiwǔhuìxīng
百歲,bǎisuì
百歲之好,bǎisuìzhīhǎo
百歲之後,bǎisuìzhīhòu
百歲千秋,bǎisuìqiānqiū
百歲羹,bǎisuìgēng
百死一生,bǎisǐyīshēng
百毒不侵,bǎidúbùqīn
百氏,bǎishì
百沴,bǎilì
百沸湯,bǎifèitāng
百治百效,bǎizhìbǎixiào
百法,bǎifǎ
百源學派,bǎiyuánxuépài
百濟,bǎijì
百濯香,bǎizhuóxiāng
百無一二,bǎiwúyīèr
百無一失,bǎiwúyīshī
百無一存,bǎiwúyīcún
百無一是,bǎiwúyīshì
百無一漏,bǎiwúyīlòu
百無一用,bǎiwúyīyòng
百無一用是書生,bǎiwúyīyòngshìshūshēng
百無一能,bǎiwúyīnéng
百無一長,bǎiwúyīcháng
百無所忌,bǎiwúsuǒjì
百無所成,bǎiwúsuǒchéng
百無禁忌,bǎiwújìnjì
百無聊賴,bǎiwúliáolài
百物,bǎiwù
百獸,bǎishòu
百獸之王,bǎishòuzhīwáng
百獸率舞,bǎishòushuàiwǔ
百王,bǎiwáng
百當,bǎidāng
百病,bǎibìng
百病叢生,bǎibìngcóngshēng
百發百中,bǎifābǎizhòng
百看不厭,bǎikànbùyàn
百福,bǎifú
百福具臻,bǎifújùzhēn
百科全書,bǎikēquánshū
百科全書派,bǎikēquánshūpài
百科辭典,bǎikēcídiǎn
百穀,bǎigǔ
百端,bǎiduān
